0.06	0.91	0.30
0.03	0.99	0.29
0.03	0.97	0.30
0.03	0.92	0.26
0.04	0.97	0.32
0.05	0.91	0.28
0.02	0.94	0.28
0.05	0.97	0.31
0.05	0.92	0.28
0.04	0.95	0.31
0.05	0.95	0.29
0.03	0.94	0.29
0.03	0.96	0.28
0.04	0.95	0.29
0.02	0.96	0.28
0.04	0.94	0.29
0.04	0.95	0.29
0.05	0.92	0.30
0.04	0.94	0.30
0.04	0.94	0.30
0.04	0.95	0.29
0.03	0.95	0.29
0.04	0.96	0.28
0.03	0.95	0.29
0.03	0.95	0.28
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.05	0.94	0.29
0.04	0.95	0.30
0.04	0.94	0.29
0.03	0.95	0.29
0.04	0.95	0.28
0.03	0.96	0.28
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.93	0.29
0.04	0.95	0.30
0.04	0.93	0.30
0.04	0.94	0.29
0.04	0.95	0.28
0.04	0.96	0.28
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.28
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.05	0.94	0.28
0.04	0.95	0.31
0.05	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.28
0.04	0.95	0.29
0.03	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.94	0.30
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.30
0.04	0.95	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.28
0.04	0.95	0.30
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.94	0.30
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.95	0.29
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.93	0.29
0.04	0.94	0.29
0.04	0.96	0.30
0.04	0.95	0.29
0.03	0.95	0.28
0.04	0.94	0.29
0.03	0.94	0.28
0.04	0.96	0.30
0.04	0.94	0.29
0.04	0.94	0.29
0.04	0.93	0.29
0.05	0.91	0.29
0.05	0.86	0.28
0.04	1.01	0.33
0.03	0.99	0.28
0.01	0.99	0.25
0.06	0.98	0.31
0.04	0.89	0.27
0.02	0.96	0.30
0.06	0.96	0.29
0.02	0.92	0.27
0.04	0.96	0.31
0.06	0.91	0.30
0.05	0.97	0.31
0.06	0.93	0.29
0.01	0.94	0.27
0.03	0.96	0.28
0.02	0.94	0.26
0.04	0.99	0.30
0.04	0.93	0.29
0.03	0.95	0.30
0.05	0.94	0.30
0.05	0.93	0.31
0.04	0.94	0.31
0.04	0.95	0.28
